year,toy_num,model_name,series,photo_url
1981,1132,3-Window '34,HiRakers,https://static.wikia.nocookie.net/hotwheels/images/d/de/3window34.jpg/revision/latest?cb=20080413055249
1981,1131,'40's Woodie,HiRakers,https://static.wikia.nocookie.net/hotwheels/images/a/a0/40s_Woodie_orgWG.JPG/revision/latest?cb=20090928201249
1981,1172,CAT Bulldozer,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/f/fd/CAT_Bulldozer_-_3188ef.jpg/revision/latest?cb=20080926141732
1981,1171,CAT Dump Truck,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/7/72/CAT_Dump_Truck_-_3092ef.jpg/revision/latest?cb=20090603190050
1981,1168,CAT Forklift,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/4/41/CAT_Forklift_YeTmpo.JPG/revision/latest?cb=20090328033212
1981,1173,CAT Wheel Loader,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/2/27/CAT_Wheel_Loader_Tamp.JPG/revision/latest?cb=20091021132131
1981,1133,Dodge D-50,HiRakers,https://static.wikia.nocookie.net/hotwheels/images/5/59/Dodge_D-50_Red.JPG/revision/latest?cb=20081220070751
1981,1127,Greyhound MC-8,,https://static.wikia.nocookie.net/hotwheels/images/4/40/Greyhound.JPG/revision/latest?cb=20091021141458
1981,,Hammer Down,The Great American Race Truck Set,https://static.wikia.nocookie.net/hotwheels/images/f/f2/Hammer_Down-17603.jpg/revision/latest?cb=20140724053800
1981,,Movin' On,The Great American Race Truck Set,https://static.wikia.nocookie.net/hotwheels/images/6/6d/Movin_On-17602.jpg/revision/latest?cb=20140724052600
1981,1174,Hiway Hauler,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/c/c8/Hiway_Hauler_NrthAmr.JPG/revision/latest?cb=20090218224744
1981,1136,'63 Split Window Corvette,HiRakers,https://static.wikia.nocookie.net/hotwheels/images/0/08/Th_63corvette001.jpg/revision/latest?cb=20080817215356
1981,1126,Stutz Blackhawk,,https://static.wikia.nocookie.net/hotwheels/images/0/0a/Stutz_Blackhawk_Gry.JPG/revision/latest?cb=20090118035629
1981,1129,Super Scraper,,https://static.wikia.nocookie.net/hotwheels/images/6/67/Super_Scraper_Yel.JPG/revision/latest?cb=20081214194712
1981,1130,Tricar X8,,https://static.wikia.nocookie.net/hotwheels/images/1/14/Tricar_X8_wht.JPG/revision/latest?cb=20091021134133
1981,1125,Turbo Mustang,,https://static.wikia.nocookie.net/hotwheels/images/3/33/Turbo_Mustang_YelBW.JPG/revision/latest?cb=20091020015053
1981,1134,Turbo Wedge,HiRakers,https://static.wikia.nocookie.net/hotwheels/images/2/29/Turbo_Wedge_Grn.JPG/revision/latest?cb=20081219204550
1981,1135,'Vette Van,HiRakers,https://static.wikia.nocookie.net/hotwheels/images/e/e9/Vette_Van_BLk.JPG/revision/latest?cb=20090107020243
1981,6967,Dune Daddy,Wisconsin Toy Company,https://static.wikia.nocookie.net/hotwheels/images/7/79/Dune_Daddy_Wisc.JPG/revision/latest?cb=20091021144316
1981,6967,Swingin' Wing,Wisconsin Toy Company,https://static.wikia.nocookie.net/hotwheels/images/d/d5/Swingin_Wing_L.JPG/revision/latest?cb=20091021142204
1981,7620,Volkswagen,Wisconsin Toy Company,https://static.wikia.nocookie.net/hotwheels/images/8/82/Volkswagen.jpg/revision/latest?cb=20080413232036
1981,7654,Warpath,Wisconsin Toy Company,https://static.wikia.nocookie.net/hotwheels/images/3/34/Warpath.jpg/revision/latest?cb=20080414053217
1981,9206,Porsche 911,,https://static.wikia.nocookie.net/hotwheels/images/9/9b/P-911_Wht_6BW.JPG/revision/latest?cb=20090313132733
1981,9206,Porsche 911,,https://static.wikia.nocookie.net/hotwheels/images/4/4c/P-911_Wht_6BWG.JPG/revision/latest?cb=20090313132752
1981,7649,Super Van,,https://static.wikia.nocookie.net/hotwheels/images/4/49/Supervan_whiteflames.JPG/revision/latest?cb=20110218120736
1981,9241,Corvette Stingray,,https://static.wikia.nocookie.net/hotwheels/images/b/b4/Corvette_Stingray_OrgBW.JPG/revision/latest?cb=20090217034047
1981,9241,Corvette Stingray,,https://static.wikia.nocookie.net/hotwheels/images/e/e5/Corvette_Stingray_OrgGW.JPG/revision/latest?cb=20081208164252
1981,9088,Rock Buster,,https://static.wikia.nocookie.net/hotwheels/images/3/35/Rock_Buster_Grn.JPG/revision/latest?cb=20091011000732
1981,9645,GMC Motorhome,,https://static.wikia.nocookie.net/hotwheels/images/b/b4/GMC_Motorhome_Grn.JPG/revision/latest?cb=20090107232238
1981,9641,Spoiler Sport,,https://static.wikia.nocookie.net/hotwheels/images/3/3e/Spoiler_Sport_-_6425df.jpg/revision/latest?cb=20081112091549
1981,9639,Z-Whiz,,https://static.wikia.nocookie.net/hotwheels/images/2/2d/Z-Whiz_GrnL.JPG/revision/latest?cb=20091003021727
1981,2022,Baja Breaker,,https://static.wikia.nocookie.net/hotwheels/images/0/01/Baja_Breaker_Grn.JPG/revision/latest?cb=20090314141007
1981,2014,Hot Bird,,https://static.wikia.nocookie.net/hotwheels/images/6/63/Hot_bird_2.JPG/revision/latest?cb=20080406044722
1981,2014,Hot Bird,,https://static.wikia.nocookie.net/hotwheels/images/3/33/Blue_hot_bird_hong_kong.jpg/revision/latest?cb=20080406045325
1981,2012,Jaguar XJS,,https://static.wikia.nocookie.net/hotwheels/images/9/9b/Jag_blue.JPG/revision/latest?cb=20080329063720
1981,2015,Packin' Pacer,,https://static.wikia.nocookie.net/hotwheels/images/7/7c/Packin_pacer_bw.JPG/revision/latest?cb=20080329080245
1981,2511,Bubble gunner,,https://static.wikia.nocookie.net/hotwheels/images/e/ec/Bubble_Gunner_Grn.jpg/revision/latest?cb=20090412143428
1981,2509,Bywayman,,https://static.wikia.nocookie.net/hotwheels/images/0/08/Bywayman_LtGrn.JPG/revision/latest?cb=20090101183726
1981,2507,Dumpin' A,,https://static.wikia.nocookie.net/hotwheels/images/6/65/Dumpin%27_A_Org.JPG/revision/latest?cb=20090102223737
1981,2506,Flat Out 442,,https://static.wikia.nocookie.net/hotwheels/images/3/3c/Flat_Out_YelRW.JPG/revision/latest?cb=20090924135855
1981,2510,Inside Story,,https://static.wikia.nocookie.net/hotwheels/images/c/cc/Inside_Story_-_01646ef.jpg/revision/latest?cb=20100721033405
1981,2503,Spacer Racer,,https://static.wikia.nocookie.net/hotwheels/images/a/af/Spacer_Racer_MtRed.JPG/revision/latest?cb=20090106144857
1981,2500,Upfront 924,,https://static.wikia.nocookie.net/hotwheels/images/f/f5/Upfront_944_orange.jpg/revision/latest?cb=20091020095024
1981,2020,Stagefright,,https://static.wikia.nocookie.net/hotwheels/images/b/b5/Image_Not_Available.jpg/revision/latest?cb=20151025125428
1982,1696,'37 Bugatti,,https://static.wikia.nocookie.net/hotwheels/images/e/e0/37_Bugatti_Blkbw.JPG/revision/latest?cb=20091021215142
